"Usuario","Respuesta"
"tr3sgr","New metal"
"de.odat","Rominimal"
"jayadavidovits","Indie"
"julio_ggh","Jazz - piano"
"apupkink","Rock, indie rock, pop, rap/trap, reggaeton."
"natan_israel","Psytrance"
"bernardotrumper","punk pop/ punk rock/ emo"
"electronyan","Disco"
"misrael61","Ranchera"
"gabrieltrumper","hyper pop"
"azuldepipe","Rock indie"
"jan_schurch","Hip hop"
"carosepulvedaac","R&B"
"lucaschacon7","Rock alternativo, grunge, prog rock, rock latino, bossa nova, reggae, rap"
"saraagalvez","metal, nu metal, grunge"
"alanasara","Dnb zoca minimal deep house"
"antonialuno","trap"
"jorgegnza","me gustas tú nms"
"nanodelabarra","Rock y electronica"
"paula_morenoleon","indie pop"
"josephfroimo","Dance pop"
"max_mardones","Rominimal - dark forest psytrance"
"dalitbz","Pop"
"eitanespinoza","IDM, Art Rock"
